"","Easting","Northing"
"Site 1",536420.467678261,3555366.75920407
"Site 2",481727.661397919,3648644.61440776
"Site 3",509711.286334676,3605871.97218652
"Site 4",514194.198578199,3560597.49992983
"Site 5",529890.472478631,3609737.59653451
"Site 6",462985.487248403,3614913.2236303
"Site 7",531896.785143706,3516411.0737907
"Site 8",556800.641716628,3565573.50291599
"Site 9",568445.166393024,3587624.51194872
"Site 10",489450.260196318,3608487.24990671
"Site 11",547689.412853088,3599075.57477945
"Site 12",573436.15640526,3559857.53572973
"Site 13",475500.688586686,3552994.88718067
"Site 14",588933.268976983,3475104.325381
"Site 15",529820.128896649,3609719.80389886
"Site 16",443212.137411966,3647887.0970433
"Site 17",566045.886901434,3510561.02557187
"Site 18",537129.65606596,3530953.46261822
"Site 19",460239.452571022,3631441.31835628
"Site 20",481123.768393509,3582483.33496625
"Site 21",567062.433567307,3542084.39958998
"Site 22",498625.064690668,3698877.37954868
"Site 23",444536.54706354,3735785.99828088
"Site 24",456474.377757015,3735012.64204859
"Site 25",400557.927715537,3700540.7914825
"Site 26",478675.967515809,3708204.15785475
"Site 27",528456.604874683,3673252.30638425
"Site 28",437097.161604029,3655855.2961769
"Site 29",439276.306570931,3638620.89083167
"Site 30",413468.467479173,3750613.32375598
"Site 31",711747.153073423,3591841.29306199
"Site 32",587915.008971032,3483795.15867353
"Site 33",548461.13685566,3461471.85582918
"Site 34",696289.84872289,3492096.02376513
"Site 35",647098.317185441,3423798.13086436
"Site 36",703770.536768339,3390889.58824292
"Site 37",728040.381518029,3430515.36612549
"Site 38",691715.118041869,3457329.61944081
"Site 39",667948.060785719,3419362.09818061
"Site 40",684995.334207719,3506661.68868686
"Site 41",591404.67872837,3868987.35025024
"Site 42",611153.203786531,3814813.93241356
"Site 43",647762.834137034,3818637.343872
"Site 44",710344.88442336,3777907.30212368
"Site 45",697973.639177771,3762905.45175398
"Site 46",701693.408787723,3814593.37064698
"Site 47",433159.784168156,3629044.67544128
"Site 48",544911.759452188,3684781.06817323
"Site 49",521145.56911852,3621182.44186056
"Site 50",680590.396920342,3602808.77305969
"Site 51",494110.426440072,3874595.42839349
"Site 52",588525.788697346,3939103.17912471
"Site 53",499943.217155831,3872619.0582774
"Site 54",551430.793658159,3610225.69044616
"Site 55",600569.354744204,3609719.97081308
"Site 56",590300.439860113,3626156.15557417
"Site 57",669465.818764491,3607400.20676224
